timestamp,elapsed_sec,root_pid,proc_count,rss_kb,rss_mib
2026-04-13T22:45:35,0.043,2850423,17,1725404,1684.965
2026-04-13T22:45:36,1.089,2850423,17,1725376,1684.938
2026-04-13T22:45:37,2.137,2850423,17,1725384,1684.945
2026-04-13T22:45:38,3.179,2850423,17,1725384,1684.945
2026-04-13T22:45:39,4.222,2850423,17,1725384,1684.945
2026-04-13T22:45:40,5.289,2850423,17,1725356,1684.918
2026-04-13T22:45:41,6.340,2850423,17,1725384,1684.945
2026-04-13T22:45:42,7.493,2850423,17,1725384,1684.945
2026-04-13T22:45:44,8.539,2850423,17,1725420,1684.980
2026-04-13T22:45:45,9.588,2850423,17,1725420,1684.980
2026-04-13T22:45:46,10.632,2850423,17,1725388,1684.949
2026-04-13T22:45:47,11.688,2850423,17,1725452,1685.012
2026-04-13T22:45:48,12.738,2850423,17,1725380,1684.941
2026-04-13T22:45:49,13.797,2850423,17,1725352,1684.914
2026-04-13T22:45:50,14.841,2850423,17,1725352,1684.914
2026-04-13T22:45:51,15.894,2850423,17,1725352,1684.914
2026-04-13T22:45:52,16.940,2850423,17,1725352,1684.914
2026-04-13T22:45:53,17.988,2850423,17,1725312,1684.875
2026-04-13T22:45:54,19.056,2850423,17,1725344,1684.906
2026-04-13T22:45:55,20.102,2850423,17,1725344,1684.906
2026-04-13T22:45:56,21.146,2850423,17,1725272,1684.836
2026-04-13T22:45:57,22.199,2850423,17,1725304,1684.867
2026-04-13T22:45:58,23.272,2850423,17,1725304,1684.867
2026-04-13T22:45:59,24.320,2850423,17,1725304,1684.867
2026-04-13T22:46:00,25.385,2850423,17,1725276,1684.840
2026-04-13T22:46:01,26.439,2850423,17,1725332,1684.895
2026-04-13T22:46:02,27.506,2850423,17,1725308,1684.871
2026-04-13T22:46:04,28.557,2850423,17,1725308,1684.871
2026-04-13T22:46:05,29.613,2850423,17,1725312,1684.875
2026-04-13T22:46:06,30.682,2850423,17,1725248,1684.812
2026-04-13T22:46:07,31.732,2850423,17,1725272,1684.836
2026-04-13T22:46:08,32.780,2850423,17,1725280,1684.844
2026-04-13T22:46:09,33.826,2850423,17,1725288,1684.852
2026-04-13T22:46:10,34.869,2850423,17,1725288,1684.852
2026-04-13T22:46:11,35.923,2850423,17,1725240,1684.805
2026-04-13T22:46:12,36.968,2850423,17,1725288,1684.852
2026-04-13T22:46:13,38.009,2850423,17,1725392,1684.953
2026-04-13T22:46:14,39.060,2850423,17,1725372,1684.934
2026-04-13T22:46:15,40.104,2850423,17,1725352,1684.914
2026-04-13T22:46:16,41.161,2850423,17,1725396,1684.957
2026-04-13T22:46:17,42.233,2850423,17,1725468,1685.027
2026-04-13T22:46:18,43.281,2850423,17,1725468,1685.027
2026-04-13T22:46:19,44.325,2850423,17,1725468,1685.027
2026-04-13T22:46:20,45.390,2850423,17,1725404,1684.965
2026-04-13T22:46:21,46.435,2850423,17,1725436,1684.996
2026-04-13T22:46:22,47.483,2850423,17,1725440,1685.000
2026-04-13T22:46:24,48.537,2850423,17,1725432,1684.992
2026-04-13T22:46:25,49.612,2850423,17,1725472,1685.031
2026-04-13T22:46:26,50.683,2850423,17,1725444,1685.004
2026-04-13T22:46:27,51.727,2850423,17,1725412,1684.973
2026-04-13T22:46:28,52.832,2850423,17,1725444,1685.004
2026-04-13T22:46:29,53.882,2850423,17,1725416,1684.977
2026-04-13T22:46:30,54.942,2850423,17,1725448,1685.008
2026-04-13T22:46:31,55.994,2850423,17,1725344,1684.906
2026-04-13T22:46:32,57.062,2850423,17,1725288,1684.852
2026-04-13T22:46:33,58.135,2850423,17,1725352,1684.914
2026-04-13T22:46:34,59.216,2850423,17,1725360,1684.922
2026-04-13T22:46:35,60.291,2850423,17,1725328,1684.891
2026-04-13T22:46:36,61.384,2850423,17,1725288,1684.852
2026-04-13T22:46:37,62.432,2850423,17,1725360,1684.922
2026-04-13T22:46:38,63.479,2850423,17,1725392,1684.953
2026-04-13T22:46:40,64.535,2850423,17,1725408,1684.969
2026-04-13T22:46:41,65.576,2850423,17,1725432,1684.992
2026-04-13T22:46:42,66.623,2850423,17,1725432,1684.992
2026-04-13T22:46:43,67.690,2850423,17,1725400,1684.961
2026-04-13T22:46:44,68.741,2850423,17,1725400,1684.961
2026-04-13T22:46:45,69.801,2850423,17,1725400,1684.961
2026-04-13T22:46:46,70.854,2850423,17,1725400,1684.961
2026-04-13T22:46:47,71.903,2850423,17,1725464,1685.023
2026-04-13T22:46:48,73.034,2850423,17,1725468,1685.027
2026-04-13T22:46:49,74.132,2850423,17,1725480,1685.039
2026-04-13T22:46:50,75.187,2850423,17,1725504,1685.062
2026-04-13T22:46:51,76.237,2850423,17,1725520,1685.078
2026-04-13T22:46:52,77.323,2850423,17,1725408,1684.969
2026-04-13T22:46:53,78.375,2850423,17,1725512,1685.070
2026-04-13T22:46:54,79.447,2850423,17,1725508,1685.066
2026-04-13T22:46:55,80.521,2850423,17,1725484,1685.043
2026-04-13T22:46:57,81.591,2850423,17,1725440,1685.000
2026-04-13T22:46:58,82.638,2850423,17,1725452,1685.012
2026-04-13T22:46:59,83.689,2850423,17,1725452,1685.012
2026-04-13T22:47:00,84.791,2850423,17,1725380,1684.941
2026-04-13T22:47:01,85.845,2850423,17,1725380,1684.941
2026-04-13T22:47:02,86.921,2850423,17,1725380,1684.941
2026-04-13T22:47:03,88.055,2850423,17,1725452,1685.012
2026-04-13T22:47:04,89.099,2850423,17,1725500,1685.059
2026-04-13T22:47:05,90.164,2850423,17,1725516,1685.074
2026-04-13T22:47:06,91.221,2850423,17,1725432,1684.992
2026-04-13T22:47:07,92.326,2850423,17,1725424,1684.984
2026-04-13T22:47:08,93.371,2850423,17,1725424,1684.984
2026-04-13T22:47:09,94.423,2850423,17,1725424,1684.984
2026-04-13T22:47:10,95.469,2850423,17,1725424,1684.984
2026-04-13T22:47:11,96.521,2850423,17,1725424,1684.984
2026-04-13T22:47:13,97.614,2850423,17,1725352,1684.914
2026-04-13T22:47:14,98.690,2850423,17,1725492,1685.051
2026-04-13T22:47:15,99.763,2850423,17,1725524,1685.082
2026-04-13T22:47:16,100.850,2850423,17,1725524,1685.082
2026-04-13T22:47:17,101.895,2850423,17,1725452,1685.012
2026-04-13T22:47:18,102.948,2850423,17,1725452,1685.012
2026-04-13T22:47:19,104.002,2850423,17,1725456,1685.016
2026-04-13T22:47:20,105.092,2850423,17,1725488,1685.047
2026-04-13T22:47:21,106.146,2850423,17,1725476,1685.035
2026-04-13T22:47:22,107.207,2850423,17,1725436,1684.996
2026-04-13T22:47:23,108.286,2850423,17,1725424,1684.984
2026-04-13T22:47:24,109.340,2850423,17,1725424,1684.984
2026-04-13T22:47:25,110.406,2850423,17,1725392,1684.953
2026-04-13T22:47:26,111.455,2850423,17,1725392,1684.953
2026-04-13T22:47:28,112.530,2850423,17,1725364,1684.926
2026-04-13T22:47:29,113.579,2850423,17,1725364,1684.926
2026-04-13T22:47:30,114.630,2850423,17,1725436,1684.996
2026-04-13T22:47:31,115.685,2850423,17,1725404,1684.965
2026-04-13T22:47:32,116.740,2850423,17,1725392,1684.953
2026-04-13T22:47:33,117.793,2850423,17,1725364,1684.926
2026-04-13T22:47:34,118.867,2850423,17,1725400,1684.961
2026-04-13T22:47:35,119.950,2850423,17,1725400,1684.961
2026-04-13T22:47:36,121.021,2850423,17,1725400,1684.961
2026-04-13T22:47:37,122.069,2850423,17,1725400,1684.961
2026-04-13T22:47:38,123.123,2850423,17,1725368,1684.930
2026-04-13T22:47:39,124.177,2850423,17,1725432,1684.992
2026-04-13T22:47:40,125.229,2850423,17,1725432,1684.992
2026-04-13T22:47:41,126.287,2850423,17,1725432,1684.992
2026-04-13T22:47:42,127.341,2850423,17,1725360,1684.922
2026-04-13T22:47:43,128.391,2850423,17,1725392,1684.953
2026-04-13T22:47:44,129.443,2850423,17,1725428,1684.988
2026-04-13T22:47:45,130.493,2850423,17,1725428,1684.988
2026-04-13T22:47:47,131.568,2850423,17,1725500,1685.059
2026-04-13T22:47:48,132.612,2850423,17,1725500,1685.059
2026-04-13T22:47:49,133.661,2850423,17,1725468,1685.027
2026-04-13T22:47:50,134.709,2850423,17,1725460,1685.020
2026-04-13T22:47:51,135.754,2850423,17,1725432,1684.992
2026-04-13T22:47:52,136.829,2850423,17,1725384,1684.945
2026-04-13T22:47:53,137.936,2850423,17,1725352,1684.914
2026-04-13T22:47:54,139.014,2850423,17,1725440,1685.000
2026-04-13T22:47:55,140.098,2850423,17,1725432,1684.992
